PERNO,CL,EL,FL,HPL,
710035,8,227,5,334,
710334,9,181,4,135,
710558,8,204,2,184,
710745,0,192,1,106,
710752,9,195,4,74,
710766,15,300,5,495,
710883,0,257,0,109,
711006,7,223,1,351,
711074,11,282,5,260,
711165,8,235,2,295,
711186,14,195,4,281,
711191,10,165,5,431,
711209,2,300,0,244,
711214,11,253,2,395,
711221,3,25,0,1,
711235,0,25,1,17,
711242,11,13,5,44,
711256,8,200,2,223,
711261,9,124,4,66,
711277,15,0,5,5,
711282,15,14,5,20,
711298,0,14,0,1,
711305,0,290,0,279,
711312,14,33,4,27,
711326,1,299,5,158,
711331,7,204,2,245,
711347,6,297,2,150,
711352,4,85,0,39,
711368,10,32,4,20,
711373,3,65,5,25,
711389,9,43,5,27,
711394,15,8,5,5,
711401,8,117,2,60,
711417,10,159,4,65,
711422,2,59,2,39,
711438,7,28,0,34,
711443,3,77,2,12,
711459,10,63,3,42,
711464,13,150,2,205,
711471,5,41,3,14,
711485,0,125,2,15,
711492,9,199,5,480,
711508,15,297,4,490,
720061,14,290,4,245,
720103,3,197,0,105,
720124,15,270,2,420,
720152,0,223,4,123,
720187,5,221,3,364,
720222,8,209,5,231,
720278,10,262,4,109,
720283,8,199,0,204,
720299,10,224,3,220,
720327,14,211,5,88,
720395,8,262,2,236,
720486,1,217,0,139,
720491,0,230,0,42,
720521,6,209,2,222,
720535,1,150,1,97,
720556,15,225,5,114,
720582,8,163,2,145,
720612,4,224,1,40,
720626,8,36,3,168,
720647,0,190,1,166,
720717,10,263,0,152,
720722,0,228,2,142,
720738,15,280,5,188,
720792,2,247,0,246,
720881,0,166,0,84,
720897,6,75,1,45,
720946,15,284,5,426,
720951,15,247,4,127,
720993,5,219,1,80,
721032,2,261,2,150,
721051,7,212,3,156,
721072,8,198,3,187,
721121,10,286,1,221,
721179,10,194,3,193,
721207,5,245,2,183,
721212,12,300,5,298,
721392,4,238,1,176,
721441,15,300,4,346,
721478,15,172,5,61,
721483,1,235,1,287,
721574,1,259,0,107,
721618,8,240,5,360,
721623,11,223,3,180,
721644,2,251,4,274,
721651,5,221,4,108,
721665,2,280,2,61,
721761,0,222,0,28,
721777,0,241,5,258,
721847,7,221,3,76,
721852,3,184,4,125,
721873,7,227,3,256,
721889,13,144,4,102,
721959,7,214,3,83,
721964,10,222,4,108,
721971,5,186,2,15,
722022,9,295,2,192,
722038,3,202,1,73,
722043,6,191,2,82,
722059,3,252,0,30,
722064,6,105,5,0,
722092,11,204,2,122,
722108,8,250,3,23,
722113,13,246,5,102,
722134,0,92,0,46,
722141,14,300,5,24,
722155,12,224,5,48,
722162,12,293,0,107,
722211,0,200,0,468,
722232,15,291,5,246,
722246,9,187,3,99,
722251,0,0,0,36,
722272,1,271,0,31,
722288,15,88,5,128,
722293,12,195,4,127,
722316,1,255,0,209,
722321,0,30,0,52,
722337,1,27,0,22,
722379,10,234,5,145,
722391,3,164,1,178,
722407,15,298,5,230,
722412,15,282,5,178,
722454,6,85,2,21,
722461,6,260,1,317,
722482,0,215,0,38,
722496,14,277,5,148,
722531,7,210,2,154,
722592,12,225,4,278,
722601,8,139,4,82,
722657,15,251,5,62,
722683,15,12,5,50,
722711,8,258,3,21,
722732,3,178,1,111,
722774,9,224,3,75,
722795,6,216,0,89,
722802,4,231,0,210,
722844,1,245,3,24,
722851,3,218,0,151,
722865,14,154,4,136,
722872,9,212,3,76,
722886,0,193,2,230,
722921,4,216,0,147,
722982,14,300,5,103,
723009,10,198,4,160,
723042,8,262,4,64,
723112,4,187,2,133,
723313,7,165,2,149,
723355,6,133,2,26,
723675,5,186,0,136,
723682,10,237,5,66,
723719,7,258,5,148,
723953,9,200,2,95,
723995,0,212,0,0,
724027,13,122,4,47,
724081,10,147,3,41,
724095,15,271,5,60,
724118,14,255,5,161,
724151,4,57,2,4,
724191,10,168,2,116,
724242,13,218,4,232,
724282,7,157,3,84,
724368,5,169,4,108,
724401,14,215,4,259,
724443,7,192,3,122,
724464,5,154,3,84,
724529,6,94,2,56,
724541,6,149,1,97,
724555,4,215,2,144,
724597,6,235,2,223,
724611,11,158,4,74,
724646,8,188,4,60,
724651,0,235,0,274,
724716,8,226,1,107,
724791,11,207,4,283,
724807,9,242,3,261,
724966,15,248,5,119,
725031,9,159,4,138,
725092,0,85,0,62,
725199,4,154,4,44,
725274,4,292,5,268,
725281,9,201,3,189,
725295,9,263,3,54,
725365,2,262,1,1,
725409,0,267,4,222,
725456,10,214,5,188,
725477,2,259,1,12,
725482,1,240,0,338,
725526,12,235,3,151,
725531,7,231,2,214,
725594,8,260,2,146,
