Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,MED REIMB,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HBL PRIN,HBL INT,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
710752,E6,E6,,,,,,,,,,,,-242,-3198,,,,,,,,,-100,,1800,-2500,25570,,,
711074,E6,E6,,,,,,,,,,,,-242,,,,,,,,,,-100,,1800,-2500,23390,-5448,,
711209,E5,E5,,-98,-966,,,,,,,,,-242,,,,,,,,,,-100,,1800,-2500,19921,,,-150
711214,E7,E7,,,,,,,,,,,,,-7242,,,,,,,,,-100,,1800,-2500,29150,,,
711242,E2,E2,,-99,-119,,,,,,,,,-242,,,,,,,,,,-100,,1499,-1300,12292,,,-150
711256,E3,E3,-48,-99,-218,,,,,,,,,,,,,,,,,,,-100,,1798,-1300,14024,,,-150
711261,E2,E2,,,,,,,,,,,,-242,,,,,,,,,,-100,,1499,-1300,12292,,,
711312,E2,E2,-20,-99,-842,,,,5820,,,,,-242,-500,,,,,,,,,-100,,1455,-1300,11931,,,-150
711326,E5,E5,,-99,47,,,,,,150,,,,,,,,,,,,,-100,,1800,-2500,22621,,,-150
711347,E7,E7,54,-3,-1750,,,,,,,-642,-5000,,,,,,,,,,,-100,,1800,,31284,,,-150
711352,E1,E1,,,475,,,,,,,,,-242,,,,,,,,,,-100,,1321,-1300,10304,,,-150
711368,E1,E1,,,252,,,,,,,,,,-500,,,,,,,,,-100,,1321,-2500,10832,,,-150
711373,E1,E1,,-99,159,,,,,,,,,-242,,,,,,,,,,-100,,1321,-1300,10832,,,-150
711389,E1,E1,,,252,,,,,,,,,,,,,,,,,,2500,-100,,1321,-1300,10832,,,-150
711401,E2,E2,,,,,,,,,,,,,,,,,,,,,,-100,,1455,,11349,,,
711417,E3,E3,,,,,,,,,,,,-242,-500,,,,,,,,,-100,,1600,-1300,14459,,,
711422,E1,E1,,-99,570,,,,,,,,,-242,,,,,,,,,,-100,,1321,-1300,10304,,,-150
711443,E3,E3,,,13449,,,,,,,,,,-500,,,,,,,,,-100,,1600,-1300,13989,,,-150
711459,E3,E3,,-99,475,,,,,,,,,,,,,,,,,,,-100,,1600,-2500,14459,,,-150
711464,E6,E6,,,,,,,,,,-199,-817,-242,,,,,,,,,,-100,,1800,-2500,23852,,,
711471,E3,E3,,-99,-893,,,,,,,,,-242,,,,,,,,,,-100,,1600,,15259,,,-150
711485,E4,E4,,-99,354,,,-355,,,,,,,-500,,,,,,,,,-100,,1600,-1300,15190,,,-150
711508,E7,E7,,,,,,,,,,,,,,,,,,,,,,-100,,1800,-2500,31780,,,
723719,S10,S10,,,,900,,,,,,,,,-500,40,,,,,,100,,,,,,1805,,,
724646,E5,E5,,,,,,,,,,,,,-500,,,,,,,,,-100,,1800,,19921,,,
726271,E4,E4,16,-49,323,,,,,,,,,,,,,,,,,,,-100,,900,-2500,18287,,,-50
728281,S11,S11,,,,1800,,,,,,,,,-500,40,,-120,,,,200,,,,,,1897,,,
728827,S10,S10,,,,1800,,,,,75,,,,-5853,15,,,,,,200,,,,,,1805,,,
728832,S9,S9,-33,-49,420,900,,,,100,,,,,-17851,15,,,,,,100,,,,,,1753,,,-75
728848,S9,S9,,-99,165,900,,,,,,,,,-500,40,,,,,,100,,,,,,1753,,,-150
729086,S8,S8,,,,900,,,,,,,,,,40,,,,,,100,,,,,,1668,,,
