Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,MED REIMB,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,LTC/LLTC ENCASH,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HINDI AWD,HBL PRIN,HBL INT,LOCAL TOUR ADJ,LTE TAXABLE,MOBILE COST,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
710752,E6,E6,,,,,,,,,,,,,,-242,-3198,,,,,,,,,,-100,,1800,-2500,26393,,,
711074,E6,E6,,,,,,,,,,,,,,-242,,,,,,,,,,,-100,,1800,-2500,24149,,,
711209,E5,E5,,-98,-24,,,,,,,,,,,-242,,,,,,,,,,,-100,,1800,-2500,20574,,,-150
711214,E7,E7,,,,,,,,,,,,,,,-6796,,,,,,,,,,-100,,1800,-2500,30082,,,
711242,E2,E2,,-99,-119,,,,,,,,,,,-242,,,,,,,,,,,-100,,1544,-1300,12661,,,-150
711256,E4,E4,-48,-99,-1707,,,,,,,,,,,,,,,,,,,,,,-100,,1800,-1300,14990,,,-150
711261,E2,E2,,,,,,,,,,,,,,-242,,,,,,,,,,,-100,,1544,-1300,12661,,,
711312,E2,E2,-20,-99,-334,,,,5996,,,,,,,-242,-500,,,,,,,,,,-100,,1499,-1300,12292,,,-150
711326,E6,E6,,-99,-1707,,,,,,150,,,,,,,,,,,,,,,,-100,,1800,-2500,24116,,,-150
711347,E7,E7,54,-3,-1750,,,,,,,,,-540,-5000,,,,,,2100,,,,,,-100,,1800,-2500,32278,-5831,,-150
711352,E2,E2,,,-893,,,,,,,,,,,-242,,,,,,,,,,2500,-100,,1499,-1300,11692,-13432,,-150
711368,E2,E2,,,252,,,,,,,,,,,,-500,,,,,,,,,,-100,,1499,-2500,12292,,,-150
711373,E2,E2,,-99,159,,,,,,,,,,,-242,,,,,,,,,,,-100,,1499,-1300,12292,,,-150
711389,E2,E2,,,252,,,,,,,,,,,,,,,,,,,,,,-100,,1499,-2500,12292,,,-150
711401,E2,E2,,,,,,,,,,,,,,-242,,,,,,,,,,,-100,,1499,,11692,,,
711417,E3,E3,,,,,,,,,,405,,,,-242,-500,,,,,,,,,,-100,,1600,-1300,14942,,,
711422,E1,E1,,-99,-239,,,-1900,,,,,,,,-242,,,,,,,,,,,-100,,1361,-1300,10616,,,-150
711443,E3,E3,,,-334,,,,,,,,,,,,-500,,,,,,,,,,-100,,1600,-1300,14459,,,-150
711459,E3,E3,,-99,-893,,,,,,,,,,,,,,,,,,,,,,-100,,1600,-2500,14942,,,-150
711464,E6,E6,,,,,,,,,,,,-183,-817,-242,,,,,,,,,,,-100,,1800,-2500,24622,-26483,,
711471,E3,E3,,-99,-893,,,,,,,,,,,-242,,,,,,,,,,,-100,,1600,,15742,,,-150
711485,E4,E4,,-99,-893,,,280,,,,,,,,,-3361,,,,,,,,,,-100,,1600,-1300,15696,4362,,-150
711508,E7,E7,,,,,,,,,,,,,,,,,,,,,,,,8000,-100,,1800,-2500,31780,,,
723719,S10,S10,,,,1800,,,,,,,,,,,-500,40,,,,,,,200,,,,,,1860,,,
724646,E5,E5,,,,,,,,,,,,,,,-5813,,,,,,,,,,-100,,1800,,20574,,,
728827,S10,S10,,,,1800,,,,,75,,,,,,-500,15,,,,,,,200,,,,,,1860,,,
728832,S9,S9,-33,-49,-260,900,,,,100,,,,,,,-18640,15,,,,,,,100,,,,,,1805,,,-75
728848,S9,S9,,-99,-286,1800,,,,,,,,,,,-500,40,,,,,,,200,,,,,,1805,,,-150
729086,S8,S8,,,,900,,,,,,,,,,,,40,,,,,,,100,,,,,,1718,,,
729359,S10,S10,,,,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1860,,,
729476,S10,S10,,,,1800,-20000,,,,,,,,,,-500,,,,,-5000,-601,26423,200,,,,,,1879,,,
729588,S10,S10,,-49,-1014,1800,,,,,,,,,,,-500,40,,,,,,,200,,,,,,1879,,,-50
729593,S10,S10,,,,900,,,,,,,,,,,,40,,,,,,,100,,,,,,1860,,,
729602,S10,S10,-33,-49,182,1800,,,,,,,,,,,-3245,40,,,,,,,200,,,,,,1879,,,-75
729733,S10,S10,-30,-99,-584,900,,,,,,,,,,,,,,,,,,,100,,,,,,1860,,,-150
729999,S8,S8,,-49,-150,900,,,,100,,,,,,,-500,15,,,,,,,100,,,,,,1718,,,-50
730208,S8,S8,,,,900,,,,,,,,,,,,40,,,,,,,100,,,,,,1718,,,
730255,S10,S10,,-99,-260,1800,,,,,,,,,,,-4854,40,,,,,,,200,,,,,,1879,,,-150
730549,S7,S7,,,,900,,,,,,,,,,,-7473,40,,,,,,,100,,,,,,1668,,,
732884,E0,E0,,-49,-240,,,,,,,,,,,,-6161,,,,,,,,,,-100,,1030,,8446,,,-50
733668,S10,S10,-18,-49,-1545,,,,,,,,,,,,-7182,40,,,,,,,,,,,,,1860,,360,-50
733738,E5,E5,,,,,,,,,,,,,,,-500,,,,,,,,,,-100,,1800,-2500,21941,,,
733771,S10,S10,,,,900,,,,,,,,,,,-500,40,,,,,,,100,,,,,,1879,,,
733967,E0,E0,-33,-49,-217,,,,,,,,,,,,,,,,,,,,,,-100,,900,,8525,,,-75
734072,S10,S10,,,,900,,,,100,,,,,,,-500,15,,,,,,,100,,,,,,1860,,,
734282,E6,E6,,,,,,,,,,,,,,,,,,,,,,,,,-100,,1800,-2500,25736,,,
734436,S10,S10,7,-49,-136,900,,,,,,,,,,,-3694,40,,,,,,,100,,,,,,1860,,,-50
734569,S10,S10,-37,-49,-195,1800,,,,,,,,,,,,40,,,,,,,200,,,,,,1860,,,-50
734574,S10,S10,,,,900,,,,,,,,,,,-5774,40,,,,,,,100,,,,,,1860,,,
734581,S10,S10,,-49,-449,900,,,,,,,,,,,-5874,40,-500,,,,,,100,,,,,,1860,,,-50
734602,S11,S11,,,,1800,,,,,,,,,,,-500,,-500,,,,,,200,,,,,,1954,,,
734618,E3,E3,,-99,-893,,,,,,,,,,,,-500,,,,,,,,,,-100,,1600,,14560,,,-150
734691,S10,S10,,-49,4,900,,,,,,,,,,,,40,,,,,,,100,,,,,,1860,,,-75
734831,S10,S10,,-49,-217,900,,,,,,,,,,,-5487,40,-500,,,,,,100,,,,,,1860,,,-50
734868,S10,S10,,,,900,,,,,,,,,,,-9946,40,,,,,,,100,,,,,,1860,,,
735155,E4,E4,,-49,-281,,,,,,,,,,,-242,-500,,,,,,,,,,-100,,1800,,15754,,,-75
735225,E4,E4,,,,,,,,,,,,,,,-500,,,,,,,,,,-100,,1800,,15754,,,
735232,E3,E3,,-99,-334,,,,,,,,,,,,,,,,,,,,,,-100,,1800,,15238,,,-150
735246,E3,E3,,-49,-238,,,,,,,,,,,,-10917,,,,,,,,,,-100,,1746,,14313,,,-50
735391,S10,S10,,-49,-260,1800,,,,,,,,,,,,40,,,,,,,200,,,,,,1860,,,-75
735428,S10,S10,,-49,-1165,1800,,,,,,,,,,,,40,,,,,,,200,,,,,,1860,,,-200
735433,S10,S10,,-49,-175,900,,,,,,,,,,,-8938,40,,,,,,,100,,,,,,1860,,,-50
735496,E4,E4,,-99,-310,,,,,,,,,,,,-500,,,,,,,,,,-100,,1800,-1300,15754,,,-150
735519,E3,E3,20,-99,-310,,,,,,,,,,,,-500,,,,,,,,,,-100,,1798,,14744,,,-150
735524,E3,E3,,-99,-334,,,,,,,,,,,,,,,,1500,,,,,,-100,,1695,-1300,13217,-2079,,-150
735545,S8,S8,-40,-49,-195,900,,,,,,,,,,,-10917,40,,,,,,,100,,,,,,1717,,,-50
