Perno,Grade,Dept_cd,SAL ADV.,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,EMP.EXPN.,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,CAR LOAN INT,CAR LOAN PRIN,CLUB,COOPERATIVE,DUST ALL,FESTIVAL ADV,GRP INS,HINDI AWD,INC ADJ,LOCAL TOUR ADJ,LTE TAXABLE,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,UNION MEMBERSHIP,WATER CHGS
710752,E6,E6,,,,,,,,,,,,,-242,-500,,,,,,,,-100,,2800,-2500,25393,,,,
711074,E6,E6,,,,,,,,,,,,,-242,,,,,,,,,-100,,2800,-2500,23149,821,,,
711209,E5,E5,,,-98,-119,,,,,,,,,-242,,,,,,,,,-100,,2650,-2500,19724,,,,-200
711214,E7,E7,,,,,,,,,,,,,,-6796,,,,,,,,-100,,2800,-2500,29082,,,,
711221,E2,E2,,,,-893,,,,,,,,,,,,,,,,,,-100,,1400,,12805,,,,-150
711242,E2,E2,,,-99,-119,,,,,,,,,-242,,,,,,,,,-100,,2044,-1300,12161,,,,-200
711256,E4,E4,,,,,,,,,,,,,,,,,,,,,,-100,,2550,-1300,14240,,,,
711261,E2,E2,,,,,,,,,,,,,-242,,,,,,,,,-100,,2044,-1300,12161,,,,
711312,E2,E2,,-20,-99,-2331,,,5996,,,,,,-242,-500,,,,,,,,-100,,1999,-1300,11792,,,,-200
711326,E6,E6,,,-99,-261,,,,,150,,,,,,,,,,,,,-100,,2800,-2500,23116,,,,-200
711352,E2,E2,,,,-893,,,,,,,,,-242,,,,,,,,,-100,,1999,-1300,11192,,,,-200
711368,E2,E2,,,,252,,,,,,,,,,-500,,,,,,,,-100,,1999,-2500,11792,,,,-200
711373,E2,E2,,,-99,159,,,,,,,,,-242,,,,,,,,,-100,,1999,-1300,11792,,,,-200
711389,E2,E2,,,,252,,,,,,,,,,,,,,,,,,-100,,1999,-2500,11792,,,,-200
711401,E2,E2,,,,,,,,,,,,,-242,,,,,,,,,-100,,1999,,11192,,,,
711417,E3,E3,,,,,,,,,,,,,-242,-500,,,,,,,,-100,,2250,-1300,14292,,,,
711443,E3,E3,,,,475,,,,,,,,,,-500,,,,,,,,-100,,2250,-1300,13809,,,,-200
711464,E6,E6,,,,,,,,,,,-158,-817,-242,,,,,,,,,-100,,2800,-2500,23622,-20632,,,
711471,E3,E3,,,-99,-893,,282,,,,,,,-242,,,,,,,,,-100,,2250,,15092,,,,-200
711485,E4,E4,,,-99,-678,,385,,,,,,,,-3361,,,,,,,,-100,,2350,-1300,14946,,,,-200
711508,E7,E7,,,,,,,,,,,,,,,,,,,,,,-100,,2800,-2500,30780,,,,
711513,E4,E4,,,,,,,,,,,,,,,,,,,,,,-100,,2550,-2500,15316,,,,
711529,E8,E8,-30750,,,,,,,,,,,,,,,,,,,,,,,2600,-2500,34002,,,,
724646,E5,E5,,,,,,,,,,,,,,-5813,,,,,,,,-100,,2650,,19724,,,,
729086,S8,S8,,,,,900,,,,,,,,,,40,,,,,,100,,,,,1718,,,-120,
729593,S10,S10,,,,,900,,,,,,,,,,40,,,,,,100,,,,,1860,,,-120,
729602,S10,S10,,-33,-49,-639,1800,,,,,,,,,-500,40,,,,,,200,,,,,1879,,,-120,-75
