Perno,Grade,Dept_cd,HOUSE RENT ADJ,CONS ADJ,ELEC ADJ,LTE NONTAXABLE,NPA,WASH/MESS ALL,OTH ALL ADJ,ATS PAY,CAR LOAN INT,CAR LOAN PRIN,BASIC ADJ,CLUB,COOPERATIVE,DA ADJ,DUST ALL,FESTIVAL ADV,GRP INS,LOCAL TOUR ADJ,LTE TAXABLE,OA,NON-EX PERKS,PERKS NONTAXABLE,PERKS TAXABLE(VOUCHER),PERKS TAXABLE,OUTSTN TOUR ADJ,TRANS EXP,WATER CHGS
710752,E6,E6,,,,,,,,,,,,-242,-500,,,,,,,-100,,1800,-2500,26393,,,
711074,E6,E6,,,,,,,,,,,,-242,,,,,,,,-100,,1800,-2500,24149,,,
711209,E5,E5,,-98,-15,,,,,,,,,-242,,,,,,,,-100,,1800,-2500,20574,-6262,,-150
711214,E7,E7,,,,,,,,,,,,,-10920,,,,,,,-100,,1800,-2500,30082,,,
711221,E2,E2,,-99,-893,,,,,,,,,,,,,,,,,-100,,900,-2500,13305,,,-150
711242,E2,E2,,-99,475,,,,,550,,,,-242,,,,,,1740,,-100,,1544,-2500,12661,-2182,,-150
711256,E4,E4,,,,,,,,,,,,,,,,,,,,-100,,1800,-1300,14990,,,
711261,E2,E2,,,,,,,,,,,,-242,,,,,,,,-100,,1544,-1300,12661,,,
711312,E2,E2,-20,-99,-992,,5996,,,,,,,-242,-500,,,,,,,-100,,1499,-1300,12292,,,-150
711326,E6,E6,,-99,-1707,,,,150,,,,,,,,,,,,,-100,,1800,-2500,24116,,,-150
711352,E2,E2,,-99,475,,,,,,,,,-242,,,,,,,,-100,,1499,-2500,11692,,,-150
711368,E2,E2,,-99,252,,,,,,,,,,-500,,,,,,,-100,,1499,-2500,12292,,,-150
711373,E2,E2,,-99,159,,,,,,,,,-242,,,,,,,,-100,,1499,-1300,12292,,,-150
711389,E2,E2,,-99,252,,,,,,,,,,,,,,,,,-100,,1499,-2500,12292,,,-150
711401,E2,E2,,,,,,,,,,,,-242,,,,,,,,-100,,1499,-2500,11692,,,
711417,E3,E3,,,,,,,,,,,,-242,-500,,,,,,,-100,,1600,-1300,14942,,,
711443,E3,E3,,-99,-334,,,,,,,,,,-500,,,,,,,-100,,1600,-1300,14459,,,-150
